id,text,mark
48,"«Газпром» ведет подготовку к строительству трех газопроводов в Ставропольском крае
https://t.co/H3xpNamGK4 https://t.co/fw9AGlHVcN",0
49,"«Газпром» развивает систему газоснабжения Московской области
https://t.co/afXtqolZv2 https://t.co/sV8bkWSk7n",0
50,"Совет директоров «Газпрома» рассмотрел перспективы развития отрасли сланцевого газа и СПГ
https://t.co/ZBamJJjcdE https://t.co/BIApaQFT7V",-1
51,"«Газпром» продолжает укреплять позиции крупнейшего экспортера газа в Европу и Турцию
https://t.co/fbzUH3D5X4 https://t.co/yDpoe6vDZd",-1
52,"В Китае проходит Фестиваль искусств «Газпрома» и CNPC
https://t.co/PvDxQdC2xG",1
53,"«Северсталь» @Severstal разработает для «Газпрома» высокопрочные трубы на давление до 150 атмосфер
https://t.co/wNkY5vlLaf https://t.co/y0fPpG0oEy",-1
54,"Состоялось XIV заседание Совместного координационного комитета «Газпрома» и CNPC
https://t.co/7YLiSFS5kM https://t.co/bGt3MSXeC5",0
55,"Завершена морская укладка газопровода «Турецкий поток»
https://t.co/qeFhei7vsx https://t.co/FIaiXsHDkm",1
56,https://t.co/JeepDpyePe,0
57,"Алексей Миллер и Министр экономики и энергетики ФРГ Петер Альтмайер обсудили вопросы сотрудничества
https://t.co/jTyBUYllnW",0
58,"Представители федеральных органов законодательной и исполнительной власти посетили объекты «Газпрома» в Тюменской области
https://t.co/hqwcPPw4oa https://t.co/sISxmArMMz",0
59,https://t.co/dKiT1Zkqf5,0
60,"За первые десять месяцев 2018 года объем поставок «Газпрома» в Германию достиг 47,6 млрд куб. м, что на 11,2% или на 4,8 млрд куб. м превышает показатель за январь — октябрь 2017 года.",1
61,https://t.co/6GeTon7OwJ,1
62,"«Газпром» завершил строительство газопровода-отвода для газификации северных районов Астраханской области
https://t.co/yYW3UnrrzA https://t.co/MUVDUebNWh",0
63,"«Газпром» и «Ренова» обсудили вопросы сотрудничества
https://t.co/6iiLtJbp5K",1
64,"Алексей Миллер и Александр Беглов обсудили актуальные вопросы сотрудничества «Газпрома» и Санкт-Петербурга
https://t.co/thLduBr9gx https://t.co/uOqBRBdKbY",0
65,"«Газпром» приступит к эксплуатационному бурению на Ковыктинском месторождении в 2019 году
https://t.co/UPK3JLlrTZ https://t.co/TtHPZmXNO9",0
66,"Алексей Миллер проинформировал Дмитрия Медведева о готовности «Газпрома» к осенне-зимнему периоду
https://t.co/c9rEh8tKRz https://t.co/G6nLTEhyNG",0
67,"«Газпром» завершает реконструкцию ГРС «Михайлов» в Рязанской области
https://t.co/QtDUzFa5Ln https://t.co/4Bdj0XgFCQ",-1
68,https://t.co/EAOEQeBkUE,0
69,"«Газпром экспорт» первым из дочерних обществ «Газпрома» присоединится к налоговому мониторингу
https://t.co/zRiTlKFSzC https://t.co/j7Pv39lAqp",-1
70,"«Газпром» и SOCAR обсудили вопросы поставок газа в Азербайджан
https://t.co/GJdc78Wko8 https://t.co/sjTwTevsYl",-1
71,"«Газпром» и @Shell обсудили дальнейшую работу по проекту «Балтийский СПГ»
https://t.co/kzyu5wladJ",-1
72,"Правление ПАО «Газпром» утвердило корпоративную Политику в области энергетической эффективности и энергосбережения
https://t.co/PsV6D1EP1X",-1
73,"Три новых газопровода построено в Пензенской области
https://t.co/c0PYuNNBLl https://t.co/wI6adKBV4D",-1
74,"Об итогах визита Алексея Миллера в Туркменистан
https://t.co/yonz7MqRYy",0
75,"Объявлены лучшие дочерние общества «Газпрома» в области изобретательской и рационализаторской деятельности
https://t.co/BHjCjhZwVQ",1
76,"СКК «Звезда» построит для «Газпрома» четыре судна для работы на морских месторождениях
https://t.co/bXmtkOENNk",0
77,"«Газпром» и Сербия развивают эффективное сотрудничество в газовой отрасли
https://t.co/fXbrxCHhVX",-1
78,https://t.co/fC5YyrGPwE,0
79,"На автомагистрали «Москва — Санкт-Петербург» началось строительство первой КриоАЗС
https://t.co/k106FdN843 https://t.co/aqCCZOWc6e",0
80,"На Амурский ГПЗ доставлено первое теплообменное оборудование
https://t.co/GfubpEqO2x https://t.co/zp7KEqB3M6",0
81,"«Газпром» впервые провел независимый аудит Отчета о деятельности в области устойчивого развития
https://t.co/5FJ8nZMTOP",0
82,"Стартовал российский этап международного автопробега «Газ в моторы»
https://t.co/Yh5v5YMpfU https://t.co/95QKjZDMBR",0
83,"Алексей Миллер и Рашид Темрезов обсудили газификацию Карачаево-Черкесии
https://t.co/jJ7IMzAVvH https://t.co/oVFvFvVh9x",1
84,"«Газпром» построил в Орловской области два новых газопровода
https://t.co/rx8wlMtJ1r",0
85,"За 8,5 месяцев «Газпром» увеличил поставки газа в Венгрию на 8,6%
https://t.co/0eyxYWcezu https://t.co/9olPkll6Ym",0
86,"Китай — стратегический партнер «Газпрома»
https://t.co/hrpdnsZGwz https://t.co/xuh51XTX52",0
87,https://t.co/V2ryRJJ2lN,1
88,https://t.co/OrbtGtM3pJ,1
89,"«Газпром» и KOGAS обсудили перспективы расширения сотрудничества
https://t.co/Zq8bEvvxpb",0
90,"«Газпром» и Itochu обсудили вопросы сотрудничества
https://t.co/qfPRgXSTkY",0
91,"«Газпром» и Mitsubishi обсудили проект «Сахалин-2»
https://t.co/Ta4Y4dVxga",0
92,"«Газпром» и JBIC обсудили перспективы взаимодействия
https://t.co/huWb2csCq9 https://t.co/gZ1cXaS9Iq",0
93,https://t.co/STq2G7vp2g,0
94,"«Газпром» и Mitsui подписали Меморандум о взаимопонимании по проекту «Балтийский СПГ»
https://t.co/soZloR9luP https://t.co/Bc1vaSGm7B",0
95,"Сотрудничество «Газпрома» и CNPC поступательно развивается
https://t.co/ayrg18lCNE",0
96,"Максим Недзвецкий возглавил ООО «Газпром ВНИИГАЗ»
https://t.co/8eUwPOz4Aa",0
97,"Подписана Дорожная карта по взаимодействию с промышленным комплексом Татарстана
https://t.co/ATISNKsMf1 https://t.co/D94oNwnTva",0
98,"«Газпром» планирует реализацию интегрированного проекта во Вьетнаме
https://t.co/tkrHgCRKUs https://t.co/xW2oCL2Avk",-1
99,"Правление рассмотрело ход реализации проекта «Турецкий поток»
https://t.co/RwafNb8NhB https://t.co/J6Y07GFMqR",0
100,"«Газпром» начал пуско-наладку на третьем газовом промысле Бованенковского месторождения
https://t.co/GurYBt2zkz https://t.co/MWIJNJgCVr",0
101,"Правление «Газпрома» одобрило инвестиционную программу и бюджет на 2018 год в новых редакциях
https://t.co/6VyZZIxeUQ",0
102,"Началась укладка газопровода «Северный поток — 2» в Финляндии
https://t.co/v3KMQfXKUS https://t.co/1gEnnmFVLF",0
103,"«Газпром» и ЯНАО обсудили актуальные вопросы сотрудничества
https://t.co/JyP4aTg2kr https://t.co/HSQgZhqTr7",0
104,https://t.co/vgO936xxeW,0
105,"Поздравляем с наступающим Днем работников нефтяной и газовой промышленности!
На фото - геологоразведочные работы на Южно-Киринском месторождении в акватории Охотского моря. Фото: «ТАСС». https://t.co/KVG6dgWdFj",1
106,"Алексей Миллер провел селекторное совещание, посвященное Дню работников нефтяной и газовой промышленности
https://t.co/UCpraobBIg https://t.co/fcT9R88U5e",0
107,"Отчетность «Газпрома» по Международным стандартам финансовой отчетности (МСФО) за 6 месяцев, закончившихся 30 июня 2018 года
https://t.co/ryzrbo1XuD",-1
108,https://t.co/xOGhPjvhVU,0
109,https://t.co/SrBqNuCAiA,0
110,"Старт VIII Всероссийского фестиваля-конкурса спортивной журналистики «Энергия побед»
https://t.co/7h5S271rYC",0
111,"Старт VIII Всероссийского фестиваля-конкурса спортивной журналистики «Энергия побед»
https://t.co/7h5S271rYC",0
112,https://t.co/YdaWi1mFAR,-1
113,https://t.co/YDOfT1pMRh,0
114,"Сегодня завершился первый этап международного ралли-марафона «Шелковый путь — 2018» @silkwayrally. Газовый КАМАЗ под управлением Сергея Куприянова занял 4-е место в категории «грузовики» и 6-е место в абсолютном зачете! 
@Gazprom_GMT #gazprom #silkwayrally2018 #ecogas https://t.co/H7wu0zUk8U",0
115,"Цифровые технологии способствуют устойчивому развитию «Газпрома»
https://t.co/Wg2ZTIK53b https://t.co/v4Lp1lFNNm",1
116,"«Газпром» ведет комплексную работу в области импортозамещения
https://t.co/7baTDtIyu1 https://t.co/1jq2lDD6Ar",1
117,"Построено 1954 км — 90,5% газопровода «Сила Сибири»
https://t.co/6V7RAs62Hk https://t.co/nRwQeOqEER",1
118,"«Шелковый путь». Этап 3. @silkwayrally 
Газовый КАМАЗ – другие застряли, мы проедем.
 #SilkWayRally2018 https://t.co/lCZKMgBUf2",0
119,"В Санкт-Петербурге состоялась церемония отгрузки первого теплообменного оборудования для Амурского ГПЗ
https://t.co/Jy3IhXbTQt",1
120,"Алексей Миллер и Посол Сербии Славенко Терзич отметили надежность поставок российского газа в республику
https://t.co/iegihQQLpN https://t.co/1RQFLOo1EI",0
121,"#Газпром и #Узбекнефтегаз обсудили ход разработки месторождения Шахпахты
https://t.co/AzwN1Vel74 https://t.co/0zGfqqztLF",1
122,Алексей Миллер и Дмитрий Кобылкин обсудили вопросы взаимодействия «Газпрома» и Минприроды России @MNR_Government https://t.co/w10hA2zbyV https://t.co/wlph3WY1bD,1
123,https://t.co/cl6Tbb38Dm,0
124,"#Газпром и #Petrovietnam обсудили ход реализации совместных проектов
https://t.co/w0QavIlxWZ https://t.co/yfFjcVLK3K",0
125,https://t.co/EHkLwkfICG,0
126,"Прямая трансляция итоговой пресс-конференции с участием Председателя Совета директоров ПАО «Газпром» и Председателя Правления ПАО «Газпром»:
https://t.co/ehhIeREBdw",0
127,"Прямая трансляция доклада Алексея Миллера об итогах деятельности компании в 2017 году:
https://t.co/SppREtLnY0 https://t.co/UFqJupcdbT",1
128,https://t.co/OuVAnm7nXt,0
129,"Прямая трансляция пресс-конференции «Финансово-экономическая политика ПАО „Газпром“»
https://t.co/vtUIyqj17q",0
130,"Судно Pioneering Spirit возобновляет укладку «Турецкого потока»
https://t.co/Xayx7ryyOJ https://t.co/GhBfXEyWkt",0
131,"Алексей Миллер посетил Северский трубный завод
https://t.co/6P6rirqkbB",0
132,"«Газпром» продолжает укреплять сотрудничество с инвесторами и акционерами
https://t.co/yNAq00ygmx",0
133,"Прямая трансляция пресс-конференции «Поставки газа на внутренний рынок. Реализация Программы газификации российских регионов»
https://t.co/ntVYvIUHZw",0
134,"Равные конкурентные условия на внутреннем рынке газа — важный фактор устойчивого развития отрасли
https://t.co/S8w25W6trL",0
135,"Совет директоров утвердил стратегию «Газпрома» в электроэнергетике на 2018–2027 годы
https://t.co/FdNmGc4Ott https://t.co/w1qv0F326q",-1
136,https://t.co/uLChjrv72Z,0
137,https://t.co/xvnPZS8o31,0
138,"Прямая трансляция пресс-конференции «„Газпром“ на Востоке России, выход на рынки стран АТР»
https://t.co/vcHVGMReCn",0
139,"«Газпром» и Боливия расширяют сотрудничество в нефтегазовой сфере
https://t.co/7KJ2FLjKwy",0
140,"«Газпром» ведет строительство шести газопроводов в Оренбургской области
https://t.co/tEmuNTqNqL",0
141,"Уровень газификации Смоленской области увеличен до 75,7%
https://t.co/A2a2a7DmJB",0
142,https://t.co/vMGaX4iXTS,0
143,"«Газпром» первым среди российских энергетических компаний провел независимый аудит выбросов парниковых газов
https://t.co/yge6T1yPsa https://t.co/1IdnCTqrNd",0
144,"«Газпром» и CNPC рассмотрели широкий спектр вопросов сотрудничества в газовой сфере
https://t.co/Rts74LPZ9L",0
145,"От Швеции получено разрешение на строительство и эксплуатацию «Северного потока – 2»
https://t.co/D7gbhVF9Vd https://t.co/U5Ap2OmvBo",0
146,"Прямая трансляция пресс-конференции
""Экспорт и повышение надежности поставок газа в Европу""
https://t.co/Pae0fjZHcU",0
147,https://t.co/3N4leEwSNU,0
148,https://t.co/xmpFl4zBtr,0
149,"50 лет надежных поставок российского газа в Австрию
https://t.co/g942lpZK7e https://t.co/cgP7Wwn7gR",-1
150,"«Газпром» обеспечил надежное газоснабжение российских и зарубежных потребителей в осенне-зимнем периоде 2017/2018 года
https://t.co/wb9PCZy3cT",0
151,"Пресс-конференция «„Газпром“ на Востоке России, выход на рынки стран АТР» начнется 15 июня в 10.30, а не 8 июня в 16.00, как было запланировано ранее.
https://t.co/ooGAvPcpO5",0
152,"Отчетность «Газпрома» по Международным стандартам финансовой отчетности (МСФО) за 3 месяца, закончившихся 31 марта 2018 года
https://t.co/CINkQq3CQJ",0
153,"«Газпром» приобретет у Группы Синара 24 локомотива на сжиженном природном газе
https://t.co/xPWo9mCzwx",0
154,"«Газпром» и ОДК изучат возможность заключения сервисных контрактов жизненного цикла для газотурбинного оборудования
https://t.co/e7H2FbZoeH",0
155,"«Газпром» и «Узбекнефтегаз» продолжат совместную добычу газа на месторождении Шахпахты
https://t.co/p6wBmnkCfB",0
156,"«Газпром» и Siemens развивают сотрудничество по производству в России электротехнического оборудования
https://t.co/Lsac7hHvWR",0
157,"Подписаны соглашения в рамках проекта строительства Амурского газоперерабатывающего завода
https://t.co/pL7yUvGYZZ",0
158,"«Газпром» и Торгово-промышленная палата РФ объединят усилия по стимулированию выпуска импортозамещающей продукции
https://t.co/xibPb6lNRV",0
159,"«Газпром» и ENGIE примут участие в воссоздании Лионского зала Екатерининского дворца
https://t.co/tu711XqhKi",0
160,"«Газпром» и Новгородская область подписали Соглашение о сотрудничестве
https://t.co/YbV0M8Gyfl",0
161,"«Газпром» и Татарстан подписали соглашение в области инноваций
https://t.co/yQJ2O3hhCX",0
162,"«Газпром» будет использовать научно-технический и промышленный потенциал активов «Севергрупп»
https://t.co/fgGR1TJ2zX",0
163,"«Алмаз — Антей» разработает для «Газпрома» высокотехнологичное оборудование
https://t.co/2h07EBo3ur",0
164,"«Газпром» и ЛУКОЙЛ намерены совместно осваивать два месторождения в Ненецком автономном округе
https://t.co/RJ9QecLGK7",0
165,"«Газпром» и Министерство экономических связей и иностранных дел Венгрии обсудили вопросы взаимодействия в газовой сфере
https://t.co/2oH2C7O6oO https://t.co/MDgTwJ0ozT",0
166,"«Газпром» и Shell продолжают совместную работу по проекту «Балтийский СПГ»
https://t.co/rhfuNxYCzu",0
167,"«Газпром» и Wintershall рассмотрели вопросы сотрудничества
https://t.co/P1Op5ouYMk",0
168,"«Газпром» и «РусГазДобыча» обсудили перспективы реализации совместных проектов
https://t.co/9tLo6bvZI5",0
169,"«Газпром» и Фонд «Сколково» договорились о научно-техническом сотрудничестве
https://t.co/HmyXRiQEnC",0
170,"«Газпром» и Fortum обсудили вопросы взаимодействия в электроэнергетике
https://t.co/ggfzHcjJxw",0
171,"Спрос на российский газ в Сербии продолжает расти
https://t.co/gjZrKbyqpd",0
172,"Германия продолжает наращивать импорт российского газа вслед за рекордными 2016 и 2017 годами
https://t.co/gLh7ZLD2JH",-1
173,"«Газпром» и Srei рассмотрели возможные направления сотрудничества в газовой сфере
https://t.co/TcxjdyJu0W",-1
174,https://t.co/YyhfYwymUT,0
175,"«Газпром» и Mitsui обсудили ход реализации соглашения в области мало- и среднетоннажного СПГ
https://t.co/QPKzjv03rF",0
176,"«Газпром» и «МегаФон» расширяют сотрудничество в сфере связи
https://t.co/T0tBh4ooy7",0
177,"Об изменениях в графике пресс-конференций, которые проводятся в преддверии годового Общего собрания акционеров ПАО «Газпром»
https://t.co/qHFnuwgTm7",0
178,"В России необходимо создать конкурентный газовый рынок с равными условиями для всех поставщиков
https://t.co/DMdfNnaGf8",0
179,"Правление «Газпрома» одобрило новую стратегию компании в электроэнергетике
https://t.co/z8qzNdQcEG https://t.co/gq0L50SFiX",0
180,"Построено более 1790 км — 83% газопровода «Сила Сибири»
https://t.co/1xPN6MXpO7 https://t.co/sFOljirPsK",0
181,"Андрей Круглов и Старший министр торговли и промышленности Сингапура Ко По Кун обсудили вопросы взаимодействия
https://t.co/LY4LK3Ddjq https://t.co/oMIXIB3jAL",0
182,"Совет директоров ""Газпрома"" рекомендует выплатить по итогам 2017 года дивиденды в размере 8,04 руб. на акцию
https://t.co/nujKKo7dqS",0
183,https://t.co/rgcGhejIC3,0
184,"Алексей Миллер и Райнер Зеле отметили значительный рост поставок российского газа в Австрию
https://t.co/qX9ROHH3R3 https://t.co/S9bwUZTvk7",1
185,"Прямая трансляция пресс-конференции «Стратегия „Газпрома“ в электроэнергетике» начнётся в 14:00 по московскому времени на сайте «Газпромвидео»: 
https://t.co/uKmmztLLB7",1
186,"Начались подготовительные работы на морском участке «Северного потока – 2» в Германии
https://t.co/YB54g1iLNL https://t.co/qo8toGrO6c",1
187,"В 2018 году «Газпром» завершит строительство газопроводов для газификации девяти населенных пунктов в Ленинградской области
https://t.co/j4gaRQOklR https://t.co/lUTOyJca1O",0
188,"Прямая трансляция пресс-конференции «Развитие минерально-сырьевой базы. Добыча газа. Развитие газотранспортной системы» начнётся в 14:00 на сайте «Газпромвидео»:
https://t.co/F9veUCRlnc",1
189,https://t.co/IollE3T64d,-1
190,"Завершено строительство первой нитки «Турецкого потока»
https://t.co/ghdIpPlDL3 https://t.co/XBK4LqILHw",0
191,"Алексей Миллер провел заседание Президиума и XXI Общее собрание Международного делового конгресса
https://t.co/GIc2dJ9eaN",-1
192,"Алексей Миллер и Михаил Ведерников обсудили ход газификации Псковской области
https://t.co/ihPo5rD9J8 https://t.co/f7vregYpjE",1
193,"«Газпром» построит четыре газопровода в Карелии
https://t.co/Oy63PlxRmv https://t.co/r6O1hEeNIh",1
194,"«Газпром» и ЛУКОЙЛ @lukoilrus обсудили перспективные направления стратегического партнерства
https://t.co/X59afTkXJS https://t.co/BTfH8lmRFr",1
195,"Стабильность коллектива «Газпрома» — результат эффективной кадровой политики
https://t.co/YPbtHGlyDU",0
196,https://t.co/dQzrjj7Fzx,0
197,https://t.co/WBlJQlEsVS,0
198,"Совет директоров рассмотрел ход реализации Программы инновационного развития «Газпрома»
https://t.co/OqfD3jDaWV",0
199,"47 газозаправочных станций «Газпрома» будут обеспечивать топливом Чемпионат мира по футболу FIFA 2018 в России™@fifaworldcup_ru 
https://t.co/mezhHWyIS7 https://t.co/HqQKcsFLXO",-1
200,"В 2018 году «Газпром» начнет строительство 11 газопроводов в Курской области
https://t.co/PVxUPYYxNH https://t.co/hpcyekePOw",-1
201,"«Газпром» вдвое увеличит газозаправочную сеть в Астраханской области
https://t.co/dNsx3YRdUK",-1
202,https://t.co/M6hIOC5sX9,1
203,"Заключен новый контракт на поставку газа в Словению
https://t.co/73novFchud",1
204,"Продукция для нужд «Газпрома» проходит многоступенчатый контроль качества
https://t.co/IcjXhCdBnQ",0
205,"Правление ""Газпрома"" предлагает дивиденды по итогам 2017 года в размере 8,04 руб. на акцию
https://t.co/Xnup7YywE0 https://t.co/EwV1pujJNR",0
206,"От Финляндии получен полный комплект разрешений на строительство газопровода «Северный поток — 2» @NordStream2 
https://t.co/ofoSsD9U4n https://t.co/hyRciHNiUS",-1
207,"Летом 2018 года начнется доставка крупнотоннажного оборудования на Амурский газоперерабатывающий завод
https://t.co/39rsvwdgw5 https://t.co/ZBisdBBfvV",1
208,https://t.co/U4vQF1bgVL,1
209,"С начала года Австрия нарастила потребление российского газа на 77,2%
https://t.co/h8XpJNXSJ0 https://t.co/rHZ5xdyZg5",1
210,"«Газпром» и Правительство Чеченской Республики продолжат работу по укреплению платежной дисциплины потребителей
https://t.co/QZUgXWndQA",0
211,"«Газпром» и РОСНАНО @rosnano_ru будут развивать взаимодействие в сфере сертификации
https://t.co/3BOutqOMUi",0
212,"Nord Stream 2 получила разрешение на строительство газопровода в финской исключительной экономической зоне
https://t.co/YgEPq9tAlw https://t.co/s9wl57OsGh",0
213,"«Газпром» и @snam рассмотрели варианты взаимодействия
https://t.co/Auv6bgkPuC https://t.co/X6GYdPIb0b",-1
214,https://t.co/QCX7TwZcFm,1
215,https://t.co/GiHhbMRMNB,0
216,https://t.co/Fc2YAN5tKL,0
217,"Алексей Миллер и Александр Цыбульский обсудили перспективы газификации Ненецкого автономного округа
https://t.co/Fcoej8fpPB https://t.co/gR8pmkHw2G",0
218,"«Газпром» повышает эффективность деятельности за счет применения инноваций
https://t.co/gHlnDhwCPx",0
219,https://t.co/B2R7rTPnEi,0
220,https://t.co/nD6wSKpM8m,0
221,"«Газпром» последовательно повышает энергоэффективность и снижает выбросы парниковых газов
https://t.co/5q3FaWPMKb https://t.co/t8MfLRvfQN",0
222,"Линейная часть газопровода «Сила Сибири» построена на 75,5%
https://t.co/cnqHKMjWYs https://t.co/mcTSXyyvty",-1
223,"«Газпром» продолжает подготовку Ковыктинского месторождения к промышленной эксплуатации
https://t.co/98waw1q0pH https://t.co/YNWUnK1Elb",0
224,"Алексей Миллер и Посол Италии Паскуале Терраччано обсудили ход работ по созданию южного маршрута поставок российского газа в Европу
https://t.co/hMp11kSonC https://t.co/jrrvqJatYC",0
225,"«Газпром» подписал Руководящие принципы по снижению выбросов метана в производственно-сбытовой цепочке природного газа
https://t.co/TKs807UHVk",0
226,https://t.co/1jdS0XghDW,-1
227,"Алексей Миллер и Глава Кабардино-Балкарии Юрий Коков обсудили актуальные вопросы сотрудничества
https://t.co/Gq9xYws80M https://t.co/eNYtAgzaft",0
228,"В 2018 году начнется строительство газопроводов для газификации 40 населенных пунктов Вологодской области
https://t.co/XWmIXz35ZT https://t.co/HChd50hOl7",0
229,https://t.co/QzGIlUXO8H,1
230,"Поздравляем милых дам с наступающим Международным женским днём! Желаем счастья, здоровья, любви и благополучия! https://t.co/PigdXhSjMI",0
231,https://t.co/puNHufZyZN,0
232,https://t.co/WI3L84lVXK,0
233,https://t.co/DeT8YupMz2,0
234,https://t.co/ojNdyTXydF,0
235,https://t.co/Eed9RH0s59,1
236,https://t.co/lLOSQNeYGd,1
237,https://t.co/Ngi3URaYw0,0
238,https://t.co/gj6QQnokAv,-1
239,"Алексей Миллер: «Голубой поток» стал мощным катализатором развития газового рынка Турции
https://t.co/IpUZ2VpwT2 https://t.co/OX1HGyAron",1
240,https://t.co/u6zSrFPoqU,-1
241,https://t.co/EAHoRd5tIc,1
242,https://t.co/lPdOwCqSG6,0
